,Date,User,Tweet
86,2019-05-17 12:00:55+00:00,bankasaurabh,"#ModiOnBharat  SHIT - that is the only word for so called press conference of PM. 

He not even took a single question. 

@RahulGandhi said correctly that Modi can do only scripted interviews not press conference.

#LokSabhaElections2019 #Modi"
87,2019-05-17 11:57:50+00:00,IndiaToday,"#LokSabhaElections2019 
""Narendra Modi locked his cabinet ministers inside the 7 Race Course Road house during the time of demonetisation,"" @RahulGandhi said at an election rally. 
https://t.co/8T0620Gm63"
88,2019-05-17 11:47:43+00:00,peace1391,"So @narendramodi is not even answering the questions, its Amit Shah. Modi have no dare to answer Journalist. 

Amit Shah back Sadhvi Thakur 

#ModiPressConference 
#LokSabhaElections2019"
89,2019-05-17 11:47:04+00:00,FinancialXpress,"#LokSabhaElections2019 |  Our strategy for the last 2 years was to systematically close every door to stop Modi from escaping. We closed 90% of the doors, and he helped us close the remaining 10% by abusing people: Congress President @RahulGandhi https://t.co/FkLRSNyVyk"
90,2019-05-17 11:44:01+00:00,FinancialXpress,"#LokSabhaElections2019 |  Mr. Modi had a huge opportunity. I would have liked to see him moving the country forward. He lost sight of the real picture, people chose him to give country a vision, but he chose to abuse our vision: Congress President @RahulGandhi https://t.co/cpxbJUJLRZ"
91,2019-05-17 11:36:20+00:00,ShrinjanGohain,"In his final presser of #LokSabhaElections2019 campaign, Mr @RahulGandhi reminds the nation how Mr Modi (#CloudyModi) mocked the airstrikes and Indian Air Force! https://t.co/H0eiWWK9n3"
92,2019-05-17 11:34:04+00:00,justtneeraj,"Dear @narendramodi, its past 5pm, you can not continue your PC now.
But anyway, you can continue since we have Modi Code of Conduct instead Model Code of Conduct in our country.
#LokSabhaElections2019"
93,2019-05-17 11:30:20+00:00,latestly,"Rahul Gandhi Calls Ruling Party 'God-Se Lovers', Priyanka Makes PM Narendra Modi 'Greatest Actor'

@RahulGandhi @priyankagandhi @narendramodi #PragyaSinghThakur #NathuramGodse @BJP4India @INCIndia #LokSabhaElections2019

https://t.co/loRGOACj0M"
94,2019-05-17 11:28:21+00:00,news24tvchannel,"My election campaign was thanksgiving to people for last 5 years: Modi 

#PMModi #AmitShah #RahulGandhi @RahulGandhi #LokSabhaElections2019 @narendramodi @AmitShah @BJP4India 

https://t.co/fvZAIfVXRi https://t.co/7NeLCsDOiz"
95,2019-05-17 11:28:01+00:00,news24tvchannel,"After long time, full majority Govt will be repeated, I am confident: Modi

#PMModi #AmitShah #RahulGandhi @RahulGandhi #LokSabhaElections2019 @narendramodi @AmitShah @BJP4India 

https://t.co/fvZAIfVXRi https://t.co/lxxrnfUhVd"
96,2019-05-17 11:27:43+00:00,news24tvchannel,"Elections have been excellent : Modi

#PMModi #AmitShah #RahulGandhi @RahulGandhi #LokSabhaElections2019 @narendramodi @AmitShah @BJP4India 

https://t.co/fvZAIfVXRi https://t.co/jYflkGVQwi"
97,2019-05-17 11:27:21+00:00,news24tvchannel,"WATCH LIVE....PM Modi's 1st press conference in 5 years

#PMModi #AmitShah #RahulGandhi @RahulGandhi #LokSabhaElections2019 @narendramodi @AmitShah @BJP4India 

https://t.co/MybiOM2k2J https://t.co/JLFWxgnKNI"
98,2019-05-17 11:27:03+00:00,NYOOOZindia,"#LokSabhaElections2019 : Media asks difficult questions to me while you (media) ask Modi how you eat Mango, says Rahul Gandhi (@RahulGandhi )

#NarendraModi

https://t.co/tKe8SaClPO"
99,2019-05-17 11:26:37+00:00,moliticsindia,"#RahulGandhi criticised Narendra Modi for not responding to his challenge for a debate on #Rafale deal. ""BJP ki philosophy, violence ki philosophy hai.""

#RahulKaChallenge @INCIndia @narendramodi #Congress #LokSabhaElections2019 @BJP4India https://t.co/cbDnV1wY8o"
